"","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions","test_samples","predictions"
"31","SRR8477552","0","SRR8477529","1","SRR8477527","0","SRR8477527","1","SRR8477527","1","SRR8477527","1","SRR8477543","0","SRR8477543","0","SRR8477541","0","SRR8477544","0","SRR8477544","0"
"32","SRR8477573","0","SRR8477531","1","SRR8477538","0","SRR8477538","0","SRR8477538","0","SRR8477538","0","SRR8477547","1","SRR8477544","0","SRR8477557","0","SRR8477547","0","SRR8477547","0"
"33","SRR8477581","1","SRR8477533","1","SRR8477545","1","SRR8477545","1","SRR8477545","0","SRR8477545","0","SRR8477549","1","SRR8477551","0","SRR8477570","0","SRR8477548","0","SRR8477548","0"
"34","SRR8477585","1","SRR8477543","0","SRR8477550","0","SRR8477550","0","SRR8477550","0","SRR8477550","0","SRR8477550","0","SRR8477554","0","SRR8477574","0","SRR8477550","0","SRR8477550","0"
"35","SRR8477588","1","SRR8477547","0","SRR8477569","0","SRR8477569","1","SRR8477569","0","SRR8477569","0","SRR8477551","0","SRR8477560","0","SRR8477586","1","SRR8477566","0","SRR8477566","0"
"36","SRR8477594","1","SRR8477548","0","SRR8477573","0","SRR8477573","0","SRR8477573","0","SRR8477573","0","SRR8477558","0","SRR8477562","0","SRR8477588","1","SRR8477572","0","SRR8477572","0"
"37","SRR8477599","1","SRR8477549","0","SRR8477574","0","SRR8477574","0","SRR8477574","0","SRR8477574","0","SRR8477560","0","SRR8477568","1","SRR8477589","1","SRR8477573","0","SRR8477573","0"
"38","SRR8477601","1","SRR8477557","0","SRR8477587","0","SRR8477587","0","SRR8477587","1","SRR8477587","1","SRR8477562","0","SRR8477569","1","SRR8477591","1","SRR8477575","1","SRR8477575","1"
"39","SRR8477603","1","SRR8477563","0","SRR8477588","0","SRR8477588","0","SRR8477588","1","SRR8477588","1","SRR8477563","0","SRR8477589","0","SRR8477592","1","SRR8477582","1","SRR8477582","1"
"40","SRR8477604","1","SRR8477576","1","SRR8477589","0","SRR8477589","0","SRR8477589","1","SRR8477589","1","SRR8477567","0","SRR8477592","1","SRR8477594","1","SRR8477604","1","SRR8477604","1"
"41","SRR8477616","0","SRR8477582","1","SRR8477590","1","SRR8477590","1","SRR8477590","1","SRR8477590","1","SRR8477569","0","SRR8477597","1","SRR8477598","1","SRR8477606","1","SRR8477606","1"
"42","SRR8477617","0","SRR8477593","1","SRR8477591","1","SRR8477591","1","SRR8477591","1","SRR8477591","1","SRR8477570","0","SRR8477608","1","SRR8477600","1","SRR8477607","1","SRR8477607","1"
"43","SRR8477620","0","SRR8477613","1","SRR8477599","1","SRR8477599","1","SRR8477599","1","SRR8477599","1","SRR8477574","0","SRR8477609","0","SRR8477610","1","SRR8477611","1","SRR8477611","1"
"44","SRR8477622","0","SRR8477614","1","SRR8477600","0","SRR8477600","1","SRR8477600","1","SRR8477600","1","SRR8477591","1","SRR8477612","1","SRR8477611","1","SRR8477612","1","SRR8477612","1"
"45","SRR8477623","0","SRR8477626","0","SRR8477611","0","SRR8477611","1","SRR8477611","1","SRR8477611","1","SRR8477594","1","SRR8477615","0","SRR8477634","0","SRR8477616","0","SRR8477616","0"
