gene,log2fc,pvalue,mean_control,mean_stress,padj
2610027K06Rik,0.0815715386525087,0.721062583820667,0.46618869227387366,0.49336509853379124,0.874202475984756
Gm45889,-0.057711529363110255,0.7216100440769777,0.3642271614734561,0.34990549294209017,0.8742209419953868
9330162B11Rik,-0.03156619057379587,0.7213934166585785,0.21323541181835015,0.2085988466134162,0.8742209419953868
Adap1,-0.02712382374665137,0.7212043398387257,12.92582951478877,12.685065126827357,0.8742209419953868
Speer4e1,-0.035932280110571674,0.721560720654463,0.21947411369060552,0.21405072512555726,0.8742209419953868
Med9,-0.016980637461018622,0.7215316663879526,4.489782901463905,4.437235871081863,0.8742209419953868
Kidins220,-0.020811714546114447,0.7215083066992463,31.39941753533902,30.949699779324483,0.8742209419953868
Taf1d,0.041365986323520114,0.7215435413623866,6.432018831422696,6.61914078627459,0.8742209419953868
E230032D23Rik,-0.08667188259271479,0.7213285643979553,0.7084038205778894,0.6670403373172027,0.8742209419953868
1600022D10Rik,0.07622377021641019,0.7213016160567804,0.5072880257813929,0.5348651578295348,0.8742209419953868
Zfp873,0.010184404052953747,0.7214426682594088,3.398188655835319,3.422269414104809,0.8742209419953868
Cacnb2,-0.0322602692231374,0.7214137489128913,6.655432821368844,6.508239401564481,0.8742209419953868
Or1e25,-0.05540144844774582,0.7213224455677987,0.3755824867088008,0.36139535387634364,0.8742209419953868
Gm2164,0.040264510127215825,0.7212660229563405,1.0594562557608345,1.0894696523420462,0.8742209419953868
Ddx25,-0.03101314934282455,0.7213255164209031,5.947371903390527,5.82086627066832,0.8742209419953868
Pex11g,-0.034825480704569284,0.7211728909935367,1.5583496116999347,1.5211588678771666,0.8742209419953868
Wiz,-0.013977693882287211,0.7215320003062224,7.643603569387522,7.569895709609803,0.8742209419953868
Synpo2,0.034997260361928614,0.7215136915717584,3.749326363345585,3.841415167518213,0.8742209419953868
Nlrp12,0.07319705473902896,0.721480489364645,2.9992819773821333,3.1554330513573436,0.8742209419953868
Mir6352,0.04841938154316041,0.7215901097225784,0.5476224893025291,0.5663476921478218,0.8742209419953868
Zfp454,-0.030374316883501794,0.7216045887573952,2.014710232456093,1.972715355624372,0.8742209419953868
Hes2,-0.0644830460480437,0.7214734319986416,0.49649793577060297,0.4747512653286686,0.8742209419953868
Prrt1,-0.031708712224158137,0.7211190166218333,6.440770613361153,6.300732766064376,0.8742209419953868
Dao,-0.0557685501535742,0.7215109740553836,0.6723991647011494,0.6468650723592473,0.8742209419953868
A430105J06Rik,0.03955778642135164,0.7216406755709346,0.9934301830816284,1.021074087626875,0.8742300170721289
Zfp992,0.020575847910852794,0.7216901728925327,3.314747559860662,3.362375885614266,0.8742619457996214
Rapgefl1,-0.04031766315365051,0.7217502029555949,14.331567904879714,13.936573866887503,0.8743066315278615
Gm816,-0.03672484235996332,0.7218240473287793,1.0508134722316218,1.0243767129425867,0.8743119808923999
Gm44926,-0.03568597191846067,0.7218019383328695,1.0441404735038742,1.0186053798801653,0.8743119808923999
Pld3,-0.027841767213758504,0.7217883203718445,31.35904755907334,30.759649810315565,0.8743119808923999
Dzip1l,-0.025997355506967523,0.7219762822296537,4.192464004226433,4.117574589297124,0.8743442200597534
Tecr,0.023739541742667646,0.7219323960842015,17.863077696429816,18.15946285185034,0.8743442200597534
Syt2,-0.04654776662171273,0.7220467910557669,9.639170811220025,9.333100124010999,0.8743442200597534
Gm38372,-0.015018609957418575,0.7221746748919915,3.35005576368463,3.3153518631928547,0.8743442200597534
Lrrc47,0.013097534102460584,0.7221113918221833,6.859313976225252,6.921879035193865,0.8743442200597534
Gm48759,-0.03676566656040116,0.7221739002498604,0.223748604766873,0.2180934710661504,0.8743442200597534
Naip5,0.035859953068610416,0.722085390999836,2.1911778870248426,2.246349999290156,0.8743442200597534
Brsk2,-0.03442124721110477,0.7221607042041827,14.536292197908944,14.193552057596936,0.8743442200597534
Rigi,-0.0384884914098908,0.7220666297588018,4.842532833628417,4.715024555270726,0.8743442200597534
Helq,0.013938102692929335,0.721991274813286,3.9091345411578464,3.9470940342731007,0.8743442200597534
Gm45477,0.017380536348563475,0.7219632784923823,3.276890462188174,3.3166189220848366,0.8743442200597534
BC051408,-0.05142579081122814,0.7220206649298726,0.5782647582909126,0.5579801704970451,0.8743442200597534
Dusp2,0.047792055641829416,0.7221681390782262,2.322775759462492,2.401044558123691,0.8743442200597534
Gm49934,0.049102560185376544,0.7221046164839573,0.5892485686637892,0.6096836407376308,0.8743442200597534
Akr1c20,-0.054486042759502556,0.7222096204513795,0.3768337160174348,0.36283022616512295,0.8743585082849756
Gm48257,-0.040325954355542634,0.7224436355519686,0.2305821190314258,0.22419860796049382,0.874395319721344
Snhg14,-0.033424206312751704,0.7223155567910184,34.32118473939139,33.53515250311493,0.874395319721344
Gm12128,-0.04177939169231463,0.7222840643199437,0.7525036783393021,0.7309956945405929,0.874395319721344
Gm15413,0.051858714633315664,0.7224070458955218,0.2951975270265694,0.30603823218429244,0.874395319721344
Gm38590,-0.048364477494277386,0.7223258050194009,0.2242546434409885,0.21682844635739124,0.874395319721344
Gm28941,-0.026293325226601338,0.7223659723140652,1.5323133899510386,1.5046216417874627,0.874395319721344
Tmc6,-0.05132188374873861,0.7224688628426555,5.534146882442825,5.340702828136997,0.874395319721344
Thumpd1,-0.011413382963915465,0.7224094055241858,4.954160184165189,4.915113802374551,0.874395319721344
Cwc27,0.013550176446948824,0.7224714763519879,3.3249942899459395,3.356380076140297,0.874395319721344
Casp9,0.015105480506362961,0.7223584797352035,8.754041025643925,8.846190693981459,0.874395319721344
Gm37702,-0.02622578062188418,0.7225511568038283,1.654398277682064,1.6245777729111028,0.8744357290223862
Klhl14,0.018622384217751135,0.7225307257313593,2.373456498971074,2.4043047768642443,0.8744357290223862
Gm37305,-0.00923728512934437,0.7228796671536131,3.438629687716312,3.4166767881281164,0.8746726720182934
Relt,0.03583186355322189,0.722905076616418,5.5446596088131,5.684120508060183,0.8746726720182934
Gm28444,0.06957702725553155,0.7228477088630478,0.3525365878054106,0.37000446657690006,0.8746726720182934
Cnn1,-0.04679049840670071,0.7227962540268479,1.1467765043513556,1.1101481990834774,0.8746726720182934
Gm26205,0.06935662836190308,0.7229090105905184,0.5489568598519377,0.5760415013008521,0.8746726720182934
